Label,Price,Nutshell Product ID,Comments,EZCater Name and Customization,EZCater Customization,Old Item Name,Product Text Archive,Subcategory Text Archive,GC Value Text Archive,EZC Menu Item,Product,Subcategory,Gift Card Amount
Chips - Assorted,$1.99 ,159-products,,Deep River Kettle Chips,,,Chips,Assorted,,,Chips,Assorted,
Ice,$2.00 ,123-products,,Ice,,,Ice,,,,Ice,,
Bagels,$1.99 ,63-products,,Assorted Bagel Tray,,,Bagels,,,,Bagels,,
"Coffee Cake Tray - Specify Type in Notes: Cinnamon Walnut, Blueberry",$2.99 ,59-products,,,,,Coffee Cake Tray,"Specify Type in Notes: Cinnamon Walnut, Blueberry",,,Coffee Cake Tray,"Specify Type in Notes: Cinnamon Walnut, Blueberry",
Coffee Cake Tray - Blueberry,$2.99 ,59-products,,Coffee Cake Tray - Blueberry Coffee Cake,Blueberry Coffee Cake,,Coffee Cake Tray,Blueberry,,,Coffee Cake Tray,Blueberry,
Coffee Cake Tray - Cinnamon Walnut,$2.99 ,59-products,,Coffee Cake Tray - Cinnamon Walnut Coffee Cake,Cinnamon Walnut Coffee Cake,,Coffee Cake Tray,Cinnamon Walnut,,,Coffee Cake Tray,Cinnamon Walnut,
Thank you Certificate - 10 Signature Boxes,$0.00 ,479-products,,,,,Thank you Certificate,10 Signature Boxes,,,Thank you Certificate,10 Signature Boxes,
Thank you Certificate - 8lb Signature meal,$0.00 ,539-products,,,,,Thank you Certificate,8lb Signature meal,,,Thank you Certificate,8lb Signature meal,
Catering Slider (served cold) - Ham and Swiss,$2.29 ,307-products,,,,,Catering Slider (served cold),Ham and Swiss,,,Catering Slider (served cold),Ham and Swiss,
Catering Slider (served cold) - Turkey and Swiss,$2.29 ,307-products,,,,,Catering Slider (served cold),Turkey and Swiss,,,Catering Slider (served cold),Turkey and Swiss,
Salad Boxed Lunches - Garden Salad,$10.99 ,195-products,,,,,,,,Y,,,
Specialty Sandwich Boxed Lunches - Turkey Bacon Ranch Sandwich,$11.49 ,19-products,,,,,,,,Y,,,
Specialty Sandwich Boxed Lunches - BBQ Smoked Stacker Sandwich,$11.49 ,19-products,,,,,,,,Y,,,
Specialty Sandwich Boxed Lunches - The HoneyBaked Sandwich,$11.49 ,19-products,,,,,,,,Y,,,
Specialty Sandwich Boxed Lunches - Tavern Club Sandwich,$11.49 ,19-products,,,,,,,,Y,,,
Specialty Sandwich Boxed Lunches - Assorted,$11.49 ,19-products,,,,,,,,Y,,,
Signature Sandwich Boxed Lunches - Turkey Bacon Ranch Lettuce Wrap,$10.99 ,15-products,,,,,,,,Y,,,
"Signature Sandwich Boxed Lunches - Ham, Bacon & Swiss Lettuce Wrap",$10.99 ,15-products,,,,,,,,Y,,,
"VIP Buffet (Includes Signature meats, chips, assorted breads, cheeses, lettuce and tomatoes, sauces, and a platter of assorted cookies) - Ham",$11.99 ,7-products,,,,,"VIP Buffet (Includes Signature meats, chips, assorted breads, cheeses, lettuce and tomatoes, sauces, and a platter of assorted cookies)",Ham,,N,"VIP Buffet (Includes Signature meats, chips, assorted breads, cheeses, lettuce and tomatoes, sauces, and a platter of assorted cookies)",Ham,
Signature Sandwich Boxed Lunches - California Veggie Sandwich,$10.99 ,15-products,,,,,,,,Y,,,
Signature Sandwich Boxed Lunches - Ham Salad Sandwich,$10.99 ,15-products,,,,,,,,Y,,,
Signature Sandwich Boxed Lunches - Smoked Turkey Classic Sandwich,$10.99 ,15-products,,,,,,,,Y,,,
Signature Sandwich Boxed Lunches - Roasted Turkey Classic Sandwich,$10.99 ,15-products,,,,,,,,Y,,,
Signature Sandwich Boxed Lunches - Ham Classic Sandwich,$10.99 ,15-products,,,,,,,,Y,,,
Signature Sandwich Boxed Lunches - Assorted,$10.99 ,15-products,,,,,,,,Y,,,
Specialty Sandwich Boxed Lunches,$11.49 ,19-products,,,,,,,,Y,,,
Catering Slider (served hot) - Turkey and Swiss,$2.29 ,307-products,,,,,Catering Slider (served hot),Turkey and Swiss,,,Catering Slider (served hot),Turkey and Swiss,
Catering Slider (served hot) - Ham and Swiss,$2.29 ,307-products,,,,,Catering Slider (served hot),Ham and Swiss,,,Catering Slider (served hot),Ham and Swiss,
Signature Sandwich Boxed Lunches - Chicken Salad Sandwich,$10.99 ,15-products,,,,,,,,Y,,,
